NCBI_ID	Parent_NCBI_ID	Organism_Name	Level	Lineage
2292034	100883	Coprobacillus sp. AM18-4LB-d2	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Coprobacillus: 100883;
2292040	872	Desulfovibrio sp. AM18-2	species	cellular organisms: 131567;Bacteria: 2;Proteobacteria: 1224;Deltaproteobacteria: 28221;Desulfovibrionales: 213115;Desulfovibrionaceae: 194924;Desulfovibrio: 872;
2292041	189330	Dorea sp. AF36-15AT	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;Dorea: 189330;
2292042	84111	Eggerthella sp. AM16-19	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Eggerthellales: 1643822;Eggerthellaceae: 1643826;Eggerthella: 84111;
2292043	1730	Eubacterium sp. AM05-23	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Eubacteriaceae: 186806;Eubacterium: 1730;
2292044	1730	Eubacterium sp. AM18-10LB-B	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Eubacteriaceae: 186806;Eubacterium: 1730;
2292045	1730	Eubacterium sp. AM18-26	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Eubacteriaceae: 186806;Eubacterium: 1730;
2292046	1763508	Lachnotalea sp. AF33-28	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;Lachnotalea: 1763508;
2292047	52225	Mitsuokella sp. AF33-22	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Negativicutes: 909932;Selenomonadales: 909929;Selenomonadaceae: 1843491;Mitsuokella: 52225;
2292048	283168	Odoribacter sp. AM16-33	species	cellular organisms: 131567;Bacteria: 2;FCB group: 1783270;Bacteroidetes: 976;Bacteroidia: 200643;Bacteroidales: 171549;Odoribacteraceae: 1853231;Odoribacter: 283168;
